date,tp,t2m,ssr,str,sp
4/2/1984,10.19,275.4774871,11746304.97,-5238530.04,70490.55721
4/3/1984,12.52,275.611473,12956389.26,-5513301.439,70191.44996
4/4/1984,11.89,275.3240297,13745456.63,-6075309.306,70252.67147
4/5/1984,8.35,274.8529108,14882811.23,-6519632.569,70278.88008
4/6/1984,9.3,274.021286,15135100.35,-7028093.673,70289.52924
4/7/1984,7.06,273.1814527,15745978.56,-7306868.148,70303.57223
4/8/1984,7.72,273.8691725,15000582.53,-6630051.879,70319.47511
4/9/1984,10.16,273.5343446,14035368.57,-6151378.248,70604.36597
4/10/1984,4.85,274.0163148,14602992.11,-6378139.287,70694.77078
4/11/1984,5.14,273.1711503,13132703.59,-5774710.873,70801.70132
4/12/1984,1.77,273.3318792,16038169.96,-6981070.031,70694.90911
4/13/1984,1.4,271.9946698,16462118.41,-7517343.674,70745.0915
4/14/1984,0.39,272.9836806,17379646.78,-8210342.671,70784.3036
4/15/1984,0.69,274.5409849,17903618.49,-7965391.216,70644.43801
4/16/1984,1.73,275.5807766,16878985.98,-7006953.984,70625.12074
4/17/1984,6.22,276.5531176,15995665.69,-6283937.731,70634.08115
4/18/1984,11.03,275.70969,13632433.88,-5755738.57,70520.88946
4/19/1984,15.24,276.0971326,13118119.1,-5440415.901,70260.18468
4/20/1984,8.34,276.2811683,14899624.01,-6164587.461,70377.82941
4/21/1984,11.93,276.3394079,14418086.43,-5802224.446,70622.83992
4/22/1984,7.27,276.7181265,14462757.87,-5811343.578,70887.26204
4/23/1984,3.89,277.3531851,14612953.53,-5555543.541,70824.88724
4/24/1984,7.18,276.8598919,14440133.4,-5203781.347,70721.50439
4/25/1984,7.32,275.8067606,14504766.16,-5534910.256,70576.12273
4/26/1984,4.91,275.661145,14755617.69,-5966886.628,70558.90586
4/27/1984,4.3,276.1939557,16258746.05,-6190496.512,70637.74126
4/28/1984,8.73,276.4875538,14020188.6,-4993868.677,70469.75749
4/29/1984,8.6,276.6667493,12561504.74,-4743604.7,70349.66991
4/30/1984,8.6,276.4868688,12469695.38,-4774161.943,70439.61783
5/1/1984,9.37,276.4475272,13355737.69,-5049058.157,70426.70623
5/2/1984,12.14,276.1798684,13688047.1,-5372569.478,70501.04131
5/3/1984,8.5,274.63771,13964530.94,-6256855.955,70687.76151
5/4/1984,2.46,276.3065451,17454330.01,-7336416.339,70719.95875
5/5/1984,3.36,276.0543913,16301133.26,-7402519.906,70755.41728
5/6/1984,4.07,276.9245628,17127298.91,-6882823.085,70685.67734
5/7/1984,6.11,276.8796429,14629150.17,-6091067.245,70600.58213
5/8/1984,5.14,277.4592292,15268150.3,-5727053.403,70600.97563
5/9/1984,5.83,277.1902994,14980983.33,-5540103.45,70567.58939
